name,id
"Lapointe, Viviane",https://www.ourcommons.ca/Members/en/viviane-lapointe(110663)
"Larouche, Andréanne",https://www.ourcommons.ca/Members/en/andreanne-larouche(104973)
"Lattanzio, Patricia",https://www.ourcommons.ca/Members/en/patricia-lattanzio(104957)
"Lauzon, Stéphane",https://www.ourcommons.ca/Members/en/stephane-lauzon(88394)
"Lawrence, Philip",https://www.ourcommons.ca/Members/en/philip-lawrence(105291)
"LeBlanc, Dominic",https://www.ourcommons.ca/Members/en/dominic-leblanc(1813)
"Lebouthillier, Diane",https://www.ourcommons.ca/Members/en/diane-lebouthillier(88460)
"Lehoux, Richard",https://www.ourcommons.ca/Members/en/richard-lehoux(104653)
"Lemire, Sébastien",https://www.ourcommons.ca/Members/en/sebastien-lemire(104630)
"Leslie, Branden",https://www.ourcommons.ca/Members/en/branden-leslie(108395)
"Lewis, Chris",https://www.ourcommons.ca/Members/en/chris-lewis(105120)
"Lewis, Leslyn",https://www.ourcommons.ca/Members/en/leslyn-lewis(88958)
"Liepert, Ron",https://www.ourcommons.ca/Members/en/ron-liepert(89139)
"Lightbound, Joël",https://www.ourcommons.ca/Members/en/joel-lightbound(88532)
"Lloyd, Dane",https://www.ourcommons.ca/Members/en/dane-lloyd(98079)
"Lobb, Ben",https://www.ourcommons.ca/Members/en/ben-lobb(35600)
"Long, Wayne",https://www.ourcommons.ca/Members/en/wayne-long(88368)
"Longfield, Lloyd",https://www.ourcommons.ca/Members/en/lloyd-longfield(88761)
"Louis, Tim",https://www.ourcommons.ca/Members/en/tim-louis(88810)
"MacAulay, Lawrence",https://www.ourcommons.ca/Members/en/lawrence-macaulay(33)
"MacDonald, Heath",https://www.ourcommons.ca/Members/en/heath-macdonald(109891)
"MacGregor, Alistair",https://www.ourcommons.ca/Members/en/alistair-macgregor(89269)
"MacKinnon, Steven",https://www.ourcommons.ca/Members/en/steven-mackinnon(88468)
"Maguire, Larry",https://www.ourcommons.ca/Members/en/larry-maguire(7251)
"Majumdar, Shuvaloy",https://www.ourcommons.ca/Members/en/shuvaloy-majumdar(116022)
"Maloney, James",https://www.ourcommons.ca/Members/en/james-maloney(88748)
"Martel, Richard",https://www.ourcommons.ca/Members/en/richard-martel(100521)
"Martinez Ferrada, Soraya",https://www.ourcommons.ca/Members/en/soraya-martinez-ferrada(104756)
"Masse, Brian",https://www.ourcommons.ca/Members/en/brian-masse(9137)
